1;Durand;rue des Sablons Paris;0102030405;Arthur;president
2;Dupond;rue de la République Paris;0103047676;Simon;tresorier
3;Courty;rue Huchette Paris;0135362578;Valentin;membre
4;Legrand;rue Pompidou Paris;0178766567;Claude;membre
5;Lepetit;rue Mitterand Paris;0698788237;Claudine;membre
6;Legros;rue FelixFaure Paris;0176789876;Claire;membre
7;Zheng;5;rue;des;membre
8;Zheng;5;Rue;des;membre
9;Dumel;5;rue;des;membre
10;Dumel;5;rue;des;membre
11;Dumel;5;Rue;des;membre
12;Dumel;5;Rue;des;membre
13;D;5;Rue;D;membre
14;Dumel;5;Place;des;membre
15;Dumel;Place Des Vosges Paris;0101010101;Li;membre
